iter	MultiClass
0	1.00330219
1	0.9244884757
2	0.8554257864
3	0.7956824621
4	0.7386218472
5	0.6901169906
6	0.6468540875
7	0.6084840404
8	0.5757508965
9	0.5440864037
10	0.5171951033
11	0.4909940471
12	0.4675019183
13	0.4462739517
14	0.425252732
15	0.4078650226
16	0.3907712009
17	0.375567123
18	0.3606332858
19	0.3470677967
20	0.3358745995
21	0.324537254
22	0.3132473871
23	0.3036774995
24	0.2940497802
25	0.285348356
26	0.2772058772
27	0.2691191406
28	0.2619032454
29	0.2545599457
30	0.2479907228
31	0.2416111146
32	0.2357918309
33	0.2299333069
34	0.2239645595
35	0.2191417413
36	0.2154606907
37	0.2107522839
38	0.2060047296
39	0.2032664982
40	0.2005934398
41	0.1969467421
42	0.193719736
43	0.1900508985
44	0.1878901466
45	0.1841967179
46	0.1821528972
47	0.1790555286
48	0.1771158982
49	0.1735440278
50	0.1709220354
51	0.1687575238
52	0.1664871531
53	0.1645886381
54	0.1626074656
55	0.1605942981
56	0.1579170074
57	0.1559897738
58	0.1545399389
59	0.1534055191
60	0.1517292331
61	0.1501018073
62	0.1488232953
63	0.1469908686
64	0.1457497289
65	0.1444035099
66	0.1433160227
67	0.1414204782
68	0.1400624942
69	0.1387941744
70	0.1376868764
71	0.1355709857
72	0.1344547893
73	0.1332060216
74	0.131796556
75	0.130771168
76	0.1296719128
77	0.1285718531
78	0.127562595
79	0.1266625596
80	0.1254197099
81	0.1244785627
82	0.1237086695
83	0.1222830236
84	0.1216331307
85	0.1201396597
86	0.1193930046
87	0.1184212841
88	0.1179805216
89	0.1167856614
90	0.1160094808
91	0.1152069597
92	0.1145587771
93	0.1139227293
94	0.1129774516
95	0.1123122303
96	0.1116795591
97	0.1107903872
98	0.1102993217
99	0.1098223231
100	0.1091008017
101	0.1088141077
102	0.1082847038
103	0.1077139724
104	0.10721062
105	0.1066610299
106	0.1057838422
107	0.1051905715
108	0.104701173
109	0.10367367
110	0.1032177178
111	0.1022166517
112	0.1014229936
